id_first,address,Nawrocki_first,Trzaskowski_first,id_second,Nawrocki_second,Trzaskowski_second
1412773,"Szkoła Podstawowa nr 4 im. Marii Skłodowskiej-Curie w Aleksandrowie Łódzkim, al. Wyzwolenia 3, 95-070 Aleksandrów Łódzki",356,443,1476247,312,451
1412879,"Szkoła Podstawowa nr 71 im. Henryka Sienkiewicza, ul. Rojna 58C, 91-134 Łódź",392,872,1476355,312,693
1412888,"Szkoła Podstawowa nr 182 im. Tadeusza Zawadzkiego ""Zośki"", ul. Łanowa 16, 91-103 Łódź",331,673,1476362,273,502
1412897,"XLII Liceum Ogólnokształcące im. Ireny Sendlerowej, ul. Stawowa 28, 91-358 Łódź",402,880,1476371,300,847
1413004,"Zespół Szkół Ekonomii i Usług, ul. Astronautów 19, 93-533 Łódź",262,483,1476476,261,429
1413016,"Szkoła Podstawowa nr 130 im. Marszałka Józefa Piłsudskiego, ul. Gościniec 1, 93-645 Łódź",507,553,1476453,278,387
1413030,"Szkoła Podstawowa nr 160 im. Powstańców Śląskich, ul. Andrzeja Struga 24A, 90-513 Łódź",86,177,1476503,53,397
1413031,"Szkoła Podstawowa nr 160 im. Powstańców Śląskich, ul. Andrzeja Struga 24A, 90-513 Łódź",145,216,1476503,53,397
1413055,"Szkoła Podstawowa nr 137 im. Aleksandra Kamińskiego, ul. Olimpijska 9, 94-043 Łódź",400,847,1476535,268,620
1413076,"Szkoła Podstawowa nr 14 im. Józefa Lompy, ul. inż. pilota Wigury 8/10, 90-301 Łódź",186,466,1476550,166,445
1413082,"Miejski Ośrodek Pomocy Społecznej w Łodzi, ul. Jana Kilińskiego 102/102a, 90-012 Łódź",130,242,1476554,50,87
1413084,"Związek Młodzieży Chrześcijańskiej Polska YMCA Ognisko w Łodzi, ul. Stanisława Moniuszki 4A, 90-111 Łódź",225,409,1476556,158,278
1413199,"Szkoła Podstawowa Nr 9, ul. Kazimierza Przerwy-Tetmajera 7, 96-100 Skierniewice",331,399,1476723,314,423
1413265,"Publiczna Szkoła Podstawowa im. św. Jana Pawła II w Rajbrocie, Rajbrot 362, 32-725 Rajbrot",658,69,1476788,100,116
1413273,"Remiza OSP, Królówka 315, 32-722 Królówka",769,52,1476796,163,123
1413274,"Przedszkole w Nowym Wiśniczu, ul. Kościelna 2, 32-720 Nowy Wiśnicz",655,326,1476797,71,545
1413274,"Przedszkole w Nowym Wiśniczu, ul. Kościelna 2, 32-720 Nowy Wiśnicz",655,326,1476803,134,403
1413277,"Szkoła Podstawowa im. Jana Pawła II w Starym Wiśniczu, Stary Wiśnicz 480, 32-720 Nowy Wiśnicz",829,183,1476800,448,402
1413280,"Przedszkole w Nowym Wiśniczu, ul. Kościelna 2, 32-720 Nowy Wiśnicz",641,208,1476797,71,545
1413280,"Przedszkole w Nowym Wiśniczu, ul. Kościelna 2, 32-720 Nowy Wiśnicz",641,208,1476803,134,403
1413281,"Gminne Centrum Kultury, Czytelnictwa i Sportu w Rzezawie, budynek biblioteki w Rzezawie, ul. Kościelna 6, 32-765 Rzezawa",702,219,1476805,210,431
1413303,"Hala Sportowa w Borzęcinie Górnym, Borzęcin 563, 32-825 Borzęcin",565,135,1476827,90,206
1413318,"Publiczna Szkoła Podstawowa, Jasień ul. Zielna 1, 32-800 Brzesko",700,317,1476843,210,560
1413321,"Dom Ludowy, ul. Krakowska 98, 32-851 Jadowniki",683,275,1476846,176,461
