id_first,address,Nawrocki_first,Trzaskowski_first,id_second,Nawrocki_second,Trzaskowski_second
1406384,"Siedziba Rady Osiedla Księże, ul. Rybnicka 39-41, 52-016 Wrocław",216,652,1469496,565,253
1406387,"Szkoła Podstawowa nr 80, ul. Polna 4, 52-120 Wrocław",375,679,1469499,746,197
1406388,"Szkoła Podstawowa nr 80, ul. Polna 4, 52-120 Wrocław",285,493,1469499,746,197
1406389,"Miejska Biblioteka Publiczna Filia nr 14 Centrum Aktywności Lokalnej Dobre Czasy na Jagodnie, ul. Sygnałowa 23, 52-130 Wrocław",113,483,1469501,329,20
1406390,"Rada Osiedla Jagodno, ul. Jagodzińska 15, 52-129 Wrocław",217,624,1469502,456,111
1406391,"Zespół Szkolno-Przedszkolny nr 25, ul. Asfaltowa 6, 52-235 Wrocław",130,582,1469503,366,82
1406391,"Zespół Szkolno-Przedszkolny nr 25, ul. Asfaltowa 6, 52-235 Wrocław",130,582,1469646,420,170
1406392,"Szkoła Podstawowa nr 23, ul. Przystankowa 32, 52-231 Wrocław",292,817,1469504,549,316
1406392,"Szkoła Podstawowa nr 23, ul. Przystankowa 32, 52-231 Wrocław",292,817,1469505,351,398
1406393,"Szkoła Podstawowa nr 23, ul. Przystankowa 32, 52-231 Wrocław",144,776,1469504,549,316
1406393,"Szkoła Podstawowa nr 23, ul. Przystankowa 32, 52-231 Wrocław",144,776,1469505,351,398
1406394,"Szkoła Podstawowa nr 23, ul. Przystankowa 32, 52-231 Wrocław",169,643,1469504,549,316
1406394,"Szkoła Podstawowa nr 23, ul. Przystankowa 32, 52-231 Wrocław",169,643,1469505,351,398
1406395,"Zespół Szkolno-Przedszkolny nr 6, ul. Konstantego Ildefonsa Gałczyńskiego 8, 52-214 Wrocław",159,686,1469507,434,87
1406395,"Zespół Szkolno-Przedszkolny nr 6, ul. Konstantego Ildefonsa Gałczyńskiego 8, 52-214 Wrocław",159,686,1469509,432,362
1406396,"Zespół Szkolno-Przedszkolny nr 6, ul. Konstantego Ildefonsa Gałczyńskiego 8, 52-214 Wrocław",187,589,1469507,434,87
1406396,"Zespół Szkolno-Przedszkolny nr 6, ul. Konstantego Ildefonsa Gałczyńskiego 8, 52-214 Wrocław",187,589,1469509,432,362
1406397,"Zespół Szkolno-Przedszkolny nr 6, ul. Konstantego Ildefonsa Gałczyńskiego 8, 52-214 Wrocław",209,857,1469507,434,87
1406397,"Zespół Szkolno-Przedszkolny nr 6, ul. Konstantego Ildefonsa Gałczyńskiego 8, 52-214 Wrocław",209,857,1469509,432,362
1406398,"Centrum Aktywności Lokalnej BOREK, ul. Powstańców Śląskich 210-218, 53-140 Wrocław",306,799,1469510,545,187
1406399,"Szkoła Podstawowa nr 64, ul. Wojszycka 1, 53-006 Wrocław",225,778,1469511,443,190
1406399,"Szkoła Podstawowa nr 64, ul. Wojszycka 1, 53-006 Wrocław",225,778,1469512,317,123
1406400,"Szkoła Podstawowa nr 64, ul. Wojszycka 1, 53-006 Wrocław",128,693,1469511,443,190
1406400,"Szkoła Podstawowa nr 64, ul. Wojszycka 1, 53-006 Wrocław",128,693,1469512,317,123
1406401,"Zespół Szkolno-Przedszkolny nr 16, ul. Wietrzna 50, 53-024 Wrocław",270,871,1469513,609,624
1406401,"Zespół Szkolno-Przedszkolny nr 16, ul. Wietrzna 50, 53-024 Wrocław",270,871,1469515,428,441
1406402,"Szkoła Podstawowa nr 61, ul. Skarbowców 8a, 53-025 Wrocław",291,744,1469514,487,195
1406402,"Szkoła Podstawowa nr 61, ul. Skarbowców 8a, 53-025 Wrocław",291,744,1469516,299,260
1406403,"Zespół Szkolno-Przedszkolny nr 16, ul. Wietrzna 50, 53-024 Wrocław",165,738,1469513,609,624
1406403,"Zespół Szkolno-Przedszkolny nr 16, ul. Wietrzna 50, 53-024 Wrocław",165,738,1469515,428,441
1406404,"Szkoła Podstawowa nr 61, ul. Skarbowców 8a, 53-025 Wrocław",131,718,1469514,487,195
1406404,"Szkoła Podstawowa nr 61, ul. Skarbowców 8a, 53-025 Wrocław",131,718,1469516,299,260
1406405,"Szkoła Podstawowa nr 42, ul. Wałbrzyska 50, 52-314 Wrocław",306,762,1469517,548,157
1406405,"Szkoła Podstawowa nr 42, ul. Wałbrzyska 50, 52-314 Wrocław",306,762,1469518,471,518
1406406,"Szkoła Podstawowa nr 42, ul. Wałbrzyska 50, 52-314 Wrocław",170,789,1469517,548,157
1406406,"Szkoła Podstawowa nr 42, ul. Wałbrzyska 50, 52-314 Wrocław",170,789,1469518,471,518
